               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041242,            0.012298,           0.0045102,             0.47374,             0.15615,             0.12142,            0.037588,            0.080605,            0.013988,            0.042883,             0.00892,             0.00892,             0.00892
                  38,            0.040759,            0.012317,           0.0043076,             0.35843,              0.1233,             0.12084,            0.036788,            0.077467,            0.014307,            0.045219,             0.00889,             0.00889,             0.00889
                  39,            0.040316,            0.012357,           0.0039273,             0.20356,             0.19023,             0.15281,            0.057483,             0.07821,            0.014442,            0.040326,             0.00886,             0.00886,             0.00886
                  40,            0.040183,            0.012375,           0.0045479,             0.20672,             0.17954,             0.11643,            0.040793,            0.081065,            0.013584,            0.040629,             0.00883,             0.00883,             0.00883
                  41,             0.04062,            0.012602,           0.0040897,             0.47125,             0.11303,            0.089182,            0.028234,            0.082517,            0.013857,            0.037946,              0.0088,              0.0088,              0.0088
                  42,            0.039598,            0.012025,           0.0040451,             0.47371,             0.16637,             0.14918,            0.062854,            0.080774,            0.012955,            0.040607,             0.00877,             0.00877,             0.00877
                  43,             0.03903,            0.012538,           0.0039839,             0.27216,             0.19317,             0.13161,            0.046608,            0.078691,            0.013559,             0.04267,             0.00874,             0.00874,             0.00874
                  44,            0.038612,            0.012573,           0.0041021,             0.44502,             0.17459,               0.141,            0.039125,             0.07897,            0.014078,             0.04455,             0.00871,             0.00871,             0.00871
                  45,            0.039333,            0.011742,           0.0035049,             0.32083,             0.12828,            0.078973,            0.024206,             0.07816,             0.01415,            0.040729,             0.00868,             0.00868,             0.00868
                  46,            0.037929,            0.011561,           0.0036885,             0.35681,             0.11227,              0.1032,            0.031676,            0.078274,            0.014396,            0.045992,             0.00865,             0.00865,             0.00865
                  47,            0.038215,            0.011733,           0.0035118,             0.38523,             0.17264,             0.14713,            0.050769,            0.078458,            0.013884,            0.040734,             0.00862,             0.00862,             0.00862
                  48,            0.037711,            0.011536,           0.0033567,             0.27661,             0.15322,            0.090773,            0.037432,             0.07844,            0.014007,            0.047664,             0.00859,             0.00859,             0.00859
                  49,            0.038028,            0.011556,           0.0032632,             0.25386,              0.1796,             0.15155,            0.038635,            0.079593,            0.014024,            0.041602,             0.00856,             0.00856,             0.00856
                  50,            0.036995,            0.011451,           0.0027403,             0.53454,             0.16544,             0.13915,            0.044052,            0.079293,            0.013748,            0.048106,             0.00853,             0.00853,             0.00853
                  51,            0.036551,            0.011185,           0.0032219,             0.48328,             0.16117,             0.10119,            0.035425,            0.079914,            0.013704,            0.044218,              0.0085,              0.0085,              0.0085
                  52,            0.036681,            0.010953,           0.0032155,             0.30123,             0.16237,             0.11198,            0.029964,            0.080424,            0.014318,            0.046948,             0.00847,             0.00847,             0.00847
                  53,            0.036367,            0.011196,           0.0031057,             0.39625,            0.097973,             0.10424,            0.030886,            0.080189,            0.015296,            0.042165,             0.00844,             0.00844,             0.00844
                  54,            0.035642,              0.0114,           0.0029199,             0.27026,             0.15527,             0.10945,            0.033921,            0.080443,            0.014392,            0.046521,             0.00841,             0.00841,             0.00841
